,trial_index,arm_name,trial_status,generation_method,AVG_total_loss,Activity_acc,DEVICETYPE_acc,MAE_time:timestamp,REPAIR_IN_TIME_5D_acc,org:resource_acc,time:timestamp_mae,layers,lr,batch_size,weight_decay,aggregation,hid
9,9,9_0,COMPLETED,Sobol,1.2038951906671918,0.7060042023658752,0.9647485017776489,0.015488069504499435,0.989683210849762,0.9790319204330444,0.015363381869274186,4,0.0007123006581692218,128,0.016368037085418573,sum,128
3,3,3_0,COMPLETED,Sobol,2.0311721484649947,0.6296982765197754,0.8939182758331299,0.015578541904687881,0.9841598868370056,0.9541805982589722,0.015444033505285488,2,0.0008802227321016593,256,0.01281482433257483,sum,128
4,4,4_0,COMPLETED,Sobol,2.1540699450368868,0.6246075630187988,0.889915406703949,0.0160395335406065,0.9840400218963623,0.9513681530952454,0.015907384101600253,2,0.006798744489941672,512,0.014659497468558654,sum,128
41,41,41_0,COMPLETED,BoTorch,2.661474392228924,0.5858005881309509,0.7591837644577026,0.013626612722873688,0.9840400218963623,0.9550913572311401,0.013513833331691231,2,0.0001,512,0.01,max,128
7,7,7_0,COMPLETED,Sobol,4.30984024806471,0.45598238706588745,0.4692640006542206,0.016235411167144775,0.9840400218963623,0.9421802759170532,0.016097995122635666,2,0.00011271059564696324,128,0.06295743798248213,sum,128
8,8,8_0,COMPLETED,Sobol,4.3944386120295444,0.29244789481163025,0.5151171684265137,0.01634548418223858,0.9840400218963623,0.9552715420722961,0.016207492445909324,2,0.003285171097957902,256,0.03300587986238524,max,128
6,6,6_0,COMPLETED,Sobol,4.5319366734873325,0.16280414164066315,0.32240086793899536,0.016767825931310654,0.9958275556564331,0.9798626899719238,0.016639078857705873,4,0.0021138872518101184,512,0.031203678344553825,max,128
1,1,1_0,COMPLETED,Sobol,4.7312755097833055,0.5687189698219299,0.14771388471126556,0.015055222436785698,0.9923087358474731,0.9782212376594543,0.014926006810186819,4,0.00029413132884013236,512,0.020455714056727532,max,128
2,2,2_0,COMPLETED,Sobol,4.768123266885411,0.14744484424591064,0.33077746629714966,0.016689356416463852,0.992145299911499,0.9744380116462708,0.016550489124234388,4,0.0048542703684471035,128,0.045971850882169055,max,128
40,40,40_0,COMPLETED,BoTorch,5.019067836751075,0.5434725880622864,0.13962087035179138,0.016486691311001778,0.992145299911499,0.9643393158912659,0.016368466807917797,4,0.0001,512,0.1,sum,128
5,5,5_0,COMPLETED,Sobol,5.14494141233328,0.4317716062068939,0.14004625380039215,0.015520112589001656,0.9912410974502563,0.9671317338943481,0.015386835500139763,4,0.00035047997672635827,256,0.039436578351773444,max,128
0,0,0_0,COMPLETED,Sobol,5.439745298751137,0.27388375997543335,0.23217792809009552,0.016083480790257454,0.9840400218963623,0.874942421913147,0.015949946145880668,2,0.0014528509914685322,256,0.09787123410578823,sum,128
