,trial_index,arm_name,trial_status,generation_method,AVG_total_loss,Activity_acc,MAE_time:timestamp,concept:name_acc,impact_acc,lifecycle:transition_acc,org:group_acc,org:resource_acc,org:role_acc,organization country_acc,organization involved_acc,product_acc,resource country_acc,time:timestamp_mae,layers,lr,batch_size,weight_decay,aggregation,hid
33,33,10_0,COMPLETED,BoTorch,19.26932603990038,0.7017632126808167,0.009855596348643303,0.7792472243309021,0.9672048091888428,0.6981227397918701,0.9265680909156799,0.12863948941230774,0.702627956867218,0.9426395893096924,0.3847335875034332,0.35685279965400696,0.8363544940948486,0.010457560420036316,4,0.01,32,0.01,sum,128
42,42,10_0,COMPLETED,BoTorch,19.38264129993816,0.6831234097480774,0.012080485001206398,0.7828077673912048,0.9707366228103638,0.6971080303192139,0.9388067722320557,0.1312863975763321,0.704011082649231,0.9446700811386108,0.35245898365974426,0.3944162428379059,0.8212487697601318,0.012521694103876749,4,0.01,32,0.01,sum,128
28,28,10_0,COMPLETED,BoTorch,19.459092260027926,0.693702757358551,0.020947126671671867,0.8021363019943237,0.9717456698417664,0.685438871383667,0.9127996563911438,0.1551085263490677,0.7321346402168274,0.9492385983467102,0.36629095673561096,0.3893401026725769,0.8212487697601318,0.021223583879570167,4,0.01,32,0.01,sum,128
32,32,10_0,COMPLETED,BoTorch,19.47368297399953,0.6871536374092102,0.008557002060115337,0.808748722076416,0.977800190448761,0.7138507962226868,0.9326874613761902,0.1466384381055832,0.7053942084312439,0.938071072101593,0.3673155605792999,0.3131979703903198,0.8373615145683289,0.00890081732844313,4,0.01,32,0.01,sum,128
29,29,10_0,COMPLETED,BoTorch,19.53860739742716,0.7052896618843079,0.02988370694220066,0.7985758185386658,0.9712411761283875,0.714865505695343,0.9148393869400024,0.14028586447238922,0.7127708792686462,0.9355330467224121,0.3575819432735443,0.37157362699508667,0.8101711869239807,0.030267055456837017,4,0.01,32,0.01,sum,128
22,22,10_0,COMPLETED,BoTorch,19.924420553880434,0.696221649646759,0.00898589938879013,0.8158698081970215,0.9677093625068665,0.7189244031906128,0.8969913721084595,0.115934357047081,0.5804518461227417,0.9319797158241272,0.2879098057746887,0.2979695498943329,0.8131923675537109,0.009192961578567823,4,0.01,32,0.01,sum,128
16,16,10_0,COMPLETED,BoTorch,20.055898477633793,0.6992443203926086,0.010151812806725502,0.7726348042488098,0.9772956371307373,0.7092846035957336,0.9296277761459351,0.13340391218662262,0.6920239925384521,0.9436548352241516,0.3048155605792999,0.3213198184967041,0.8152064681053162,0.010277352295815945,4,0.01,32,0.01,sum,128
3,3,3_0,COMPLETED,Sobol,20.844372400082648,0.7224181294441223,0.011791335418820381,0.7594099640846252,0.9550958275794983,0.7163876295089722,0.8755737543106079,0.048703018575906754,0.7127708792686462,0.9340101480484009,0.18288932740688324,0.34517768025398254,0.8282980918884277,0.011863858439028263,2,0.0008802227321016593,64,0.01281482433257483,sum,128
34,34,34_0,COMPLETED,BoTorch,21.07541864652497,0.6639798283576965,0.007907640188932419,0.7548321485519409,0.9656912088394165,0.6681886911392212,0.9005609750747681,0.013763896189630032,0.6906408667564392,0.9406091570854187,0.1741803139448166,0.3126903772354126,0.8378650546073914,0.008111133317773541,2,0.01,32,0.01,max,128
4,4,4_0,COMPLETED,Sobol,21.145009647899617,0.7214105725288391,0.011818849481642246,0.7965412139892578,0.9672048091888428,0.7158802151679993,0.8709842562675476,0.029645316302776337,0.6800369024276733,0.9390863180160522,0.22643440961837769,0.34771573543548584,0.8187311291694641,0.01209365064278245,2,0.006798744489941672,512,0.014659497468558654,sum,128
