,trial_index,arm_name,trial_status,generation_method,(case) AMOUNT_REQ_mae,AVG_total_loss,Activity_acc,MAE_(case) AMOUNT_REQ,MAE_time:timestamp,concept:name_acc,lifecycle:transition_acc,org:resource_acc,time:timestamp_mae,layers,lr,batch_size,weight_decay,aggregation,hid
80,80,12_0,COMPLETED,BoTorch,0.043920888194760074,2.5453749019471767,0.8885660767555237,0.04301364719867706,0.021274631842970848,0.8871538043022156,0.9568440318107605,0.7176050543785095,0.021213781739612227,4,0.0001,128,0.01,sum,128
23,23,23_0,COMPLETED,BoTorch,0.0467492228970655,2.547540175665206,0.8851251006126404,0.04585305228829384,0.020076895132660866,0.8905625939369202,0.9567416906356812,0.7070913910865784,0.01997061355889422,4,0.0001399310618327341,128,0.01,sum,128
34,34,12_0,COMPLETED,BoTorch,0.05137111604647729,2.5548600848511005,0.8906684517860413,0.05012970045208931,0.013667639344930649,0.8922512531280518,0.9576309323310852,0.7116501927375793,0.01360236455514593,4,0.0001,128,0.01,sum,128
76,76,12_0,COMPLETED,BoTorch,0.05026355107287759,2.555039312021391,0.8768100738525391,0.049223337322473526,0.015081134624779224,0.8861043453216553,0.9547429084777832,0.7158462405204773,0.014998191642095742,4,0.0001,128,0.01,sum,128
15,15,12_0,COMPLETED,BoTorch,0.049810444628729404,2.5569485528846676,0.8893613219261169,0.04872867092490196,0.02866317518055439,0.8928983211517334,0.9547586441040039,0.7114530205726624,0.028597360910865868,4,0.0001,128,0.01,sum,128
70,70,12_0,COMPLETED,BoTorch,0.042240022636443664,2.558102152237976,0.8889518976211548,0.04112023860216141,0.014635962434113026,0.8939319849014282,0.9575129151344299,0.7099071145057678,0.014565835996232564,4,0.0001,128,0.01,sum,128
64,64,12_0,COMPLETED,BoTorch,0.052367437956402606,2.5596538933572694,0.8830541968345642,0.051430221647024155,0.015509765595197678,0.8905705213546753,0.9556164145469666,0.7165008783340454,0.015450402542731716,4,0.0001,128,0.01,sum,128
96,96,12_0,COMPLETED,BoTorch,0.050293127490768155,2.559941357562264,0.8849596977233887,0.04937603324651718,0.013188714161515236,0.8885425925254822,0.9563482403755188,0.7115792036056519,0.013108501120389086,4,0.0001,128,0.01,sum,128
67,67,12_0,COMPLETED,BoTorch,0.05521378854235399,2.5627153398722267,0.88715660572052,0.054326049983501434,0.014240452088415623,0.8882427215576172,0.9579851031303406,0.7097572684288025,0.014122722082708067,4,0.0001,128,0.01,sum,128
29,29,29_0,COMPLETED,BoTorch,0.044909096530918936,2.5673093973360595,0.8818100690841675,0.04390047863125801,0.01575217768549919,0.8884005546569824,0.9513275623321533,0.7173053622245789,0.015681014188285013,4,0.0001,128,0.010786776886251292,sum,128
84,84,12_0,COMPLETED,BoTorch,0.06772489722781969,2.5680988435317014,0.8879203796386719,0.06690690666437149,0.012955548241734505,0.893150806427002,0.9570013880729675,0.7110350131988525,0.012895614125774902,4,0.0001,128,0.01,sum,128
39,39,12_0,COMPLETED,BoTorch,0.05658633970809214,2.5736790021013434,0.880408525466919,0.05545581877231598,0.013905287720263004,0.8871458768844604,0.9561042785644531,0.7125887870788574,0.013810862913655424,4,0.0001,128,0.01,sum,128
35,35,12_0,COMPLETED,BoTorch,0.05783398319216608,2.5751212545788116,0.8868573904037476,0.05690859258174896,0.013612108305096626,0.8865777850151062,0.9519256353378296,0.7124704718589783,0.01354582927831747,4,0.0001,128,0.01,sum,128
89,89,12_0,COMPLETED,BoTorch,0.049228725177281114,2.580017392731552,0.8871644735336304,0.04826907441020012,0.01360922958701849,0.8902943134307861,0.9561200141906738,0.7119972705841064,0.013633130009747247,4,0.0001,128,0.01,sum,128
24,24,12_0,COMPLETED,BoTorch,0.05029592399024269,2.5846342182383664,0.8815266489982605,0.049077775329351425,0.016038956120610237,0.8875799179077148,0.9564111828804016,0.7089843153953552,0.01590319883837862,4,0.0001,128,0.01,sum,128
81,81,12_0,COMPLETED,BoTorch,0.057555066692887,2.585406870228573,0.8796132206916809,0.056535881012678146,0.01833033375442028,0.8835397958755493,0.9566158056259155,0.7124310731887817,0.018253001520066585,4,0.0001,128,0.01,sum,128
18,18,12_0,COMPLETED,BoTorch,0.051937864858259276,2.587389734691208,0.8805817365646362,0.05078133940696716,0.015655694529414177,0.8835161328315735,0.9556872248649597,0.7147104740142822,0.015607892418081321,4,0.0001,128,0.01,sum,128
25,25,25_0,COMPLETED,BoTorch,0.05491841128728922,2.588452868633768,0.885644793510437,0.054133761674165726,0.01924830488860607,0.8878402709960938,0.9573555588722229,0.7007973790168762,0.019193180194757516,4,0.00018135595406985734,128,0.01,sum,128
87,87,12_0,COMPLETED,BoTorch,0.048114456127858855,2.592936691005253,0.8888888955116272,0.04703834280371666,0.02828219160437584,0.8894500136375427,0.9561042785644531,0.7091341614723206,0.028099871774032278,4,0.0001,128,0.01,sum,128
78,78,12_0,COMPLETED,BoTorch,0.06087978585686499,2.5967602710266715,0.8880621194839478,0.060015931725502014,0.02806004323065281,0.8905783891677856,0.9566079378128052,0.7050328254699707,0.02799155306324218,4,0.0001,128,0.01,sum,128
47,47,12_0,COMPLETED,BoTorch,0.05297896888070894,2.6033713839568415,0.8782037496566772,0.05178571119904518,0.01611720584332943,0.8810936808586121,0.9534758925437927,0.7052063345909119,0.016051993958507347,4,0.0001,128,0.01,sum,128
42,42,12_0,COMPLETED,BoTorch,0.04483508251752089,2.6057185884565115,0.8837549686431885,0.0436578206717968,0.017148442566394806,0.8857728838920593,0.953845739364624,0.7020751237869263,0.017073503577882804,4,0.0001,128,0.01,sum,128
97,97,12_0,COMPLETED,BoTorch,0.04435332766869693,2.6147126845689943,0.8849046230316162,0.043369125574827194,0.02591191977262497,0.8831374049186707,0.9570171236991882,0.706744372844696,0.025798769884751837,4,0.0001,128,0.01,sum,128
48,48,12_0,COMPLETED,BoTorch,0.06686063392937762,2.6155314475243676,0.8801171779632568,0.06606042385101318,0.017618807032704353,0.882577121257782,0.9543572664260864,0.7072964310646057,0.0175209287463606,4,0.0001,128,0.01,sum,128
93,93,12_0,COMPLETED,BoTorch,0.047848173968710946,2.622722756406925,0.8876132965087891,0.046598661690950394,0.013843259774148464,0.8877456188201904,0.9565528631210327,0.7083691358566284,0.013754147855402197,4,0.0001,128,0.01,sum,128
32,32,32_0,COMPLETED,BoTorch,0.05341297999313734,2.6265710297682623,0.8817470669746399,0.052224300801754,0.019525116309523582,0.8827822804450989,0.9546720385551453,0.7004897594451904,0.019402070079468987,4,0.0001,128,0.010560281542930485,sum,128
49,49,12_0,COMPLETED,BoTorch,0.04436441975672847,2.6393478148824814,0.8750777244567871,0.04338638111948967,0.016015343368053436,0.879034161567688,0.9509734511375427,0.711445152759552,0.0159746944199054,4,0.0001,128,0.01,sum,128
99,99,12_0,COMPLETED,BoTorch,0.0485592318101994,2.651015797232106,0.8732824921607971,0.04757799208164215,0.01568625681102276,0.8829243183135986,0.9535703063011169,0.704441249370575,0.015651981102176082,4,0.0001,128,0.01,sum,128
22,22,22_0,COMPLETED,BoTorch,0.05100306069243302,2.651748668194468,0.8740383982658386,0.049886349588632584,0.01616978831589222,0.8792314529418945,0.950863242149353,0.7050958871841431,0.01611919275222762,4,0.0001,256,0.01,sum,128
95,95,12_0,COMPLETED,BoTorch,0.06317416502578745,2.6664871612419057,0.8775501847267151,0.06235959380865097,0.01632644236087799,0.8814329504966736,0.9533578753471375,0.6972165703773499,0.01629527443929494,4,0.0001,128,0.01,sum,128
9,9,9_0,COMPLETED,Sobol,0.06441108575000347,3.072181621304198,0.8709202408790588,0.06321433931589127,0.015413349494338036,0.8691627979278564,0.951957106590271,0.601725697517395,0.01525403368422418,4,0.0007123006581692218,128,0.016368037085418573,sum,128
3,3,3_0,COMPLETED,Sobol,0.14757968709596153,3.9073423682847648,0.7826124429702759,0.142695814371109,0.019678395241498947,0.7642704844474792,0.9235405921936035,0.621364951133728,0.01961069326232938,2,0.0008802227321016593,256,0.01281482433257483,sum,128
79,79,79_0,COMPLETED,BoTorch,0.20665757184468428,3.9823502064185234,0.8009197115898132,0.20323142409324646,0.019684137776494026,0.804734468460083,0.9263342618942261,0.5090032815933228,0.01931716885092189,4,0.01,128,0.02879881835966599,sum,128
4,4,4_0,COMPLETED,Sobol,0.16368966687072828,4.130910566989875,0.7661083936691284,0.1610727608203888,0.01477282214909792,0.768878698348999,0.9211955070495605,0.5895320177078247,0.014392313004914418,2,0.006798744489941672,512,0.014659497468558654,sum,128
41,41,41_0,COMPLETED,BoTorch,0.03175841884018438,4.979449394430278,0.635438084602356,0.03107443079352379,0.011957477778196335,0.7476367354393005,0.8988227248191833,0.5016523599624634,0.011931367417417684,2,0.0001,512,0.01,max,128
1,1,1_0,COMPLETED,Sobol,0.040793840909033145,5.511949495529955,0.7734785079956055,0.04034528136253357,0.02039194665849209,0.7529708743095398,0.8907565474510193,0.2156214714050293,0.020151616752292347,4,0.00029413132884013236,512,0.020455714056727532,max,128
37,37,37_0,COMPLETED,BoTorch,0.1342193225344408,6.097882923154721,0.710588276386261,0.1308070570230484,0.031654082238674164,0.6546121835708618,0.8601208329200745,0.20905138552188873,0.031511080803946385,4,0.0001,512,0.1,sum,128
6,6,6_0,COMPLETED,Sobol,0.06665072948174569,6.4294344134881944,0.6640760898590088,0.06598863005638123,0.012485952116549015,0.6283594965934753,0.8373860716819763,0.2065984606742859,0.012180279452100541,4,0.0021138872518101184,512,0.031203678344553825,max,128
5,5,5_0,COMPLETED,Sobol,0.04648675973915938,6.67909596125749,0.6165875196456909,0.045833125710487366,0.012683616951107979,0.6286988258361816,0.8383618593215942,0.20562832057476044,0.012408632617805478,4,0.00035047997672635827,256,0.039436578351773444,max,128
2,2,2_0,COMPLETED,Sobol,0.10221092468037189,6.9302729102556855,0.5759178996086121,0.1007130891084671,0.01558065228164196,0.622843861579895,0.820427417755127,0.2059674710035324,0.015252329608045736,4,0.0048542703684471035,128,0.045971850882169055,max,128
8,8,8_0,COMPLETED,Sobol,0.06280643199977365,7.614823591967737,0.441546767950058,0.06236898899078369,0.005790612660348415,0.5651463866233826,0.8309803605079651,0.18085449934005737,0.005666083348824561,2,0.003285171097957902,256,0.03300587986238524,max,128
7,7,7_0,COMPLETED,Sobol,0.23073882964050885,7.617084161505031,0.5535791516304016,0.2252362221479416,0.010909628123044968,0.5129172205924988,0.8459952473640442,0.18853667378425598,0.010811332115921581,2,0.00011271059564696324,128,0.06295743798248213,sum,128
53,53,53_0,COMPLETED,BoTorch,0.3316892747161458,7.620361794636232,0.5629256963729858,0.3272361755371094,0.018219908699393272,0.5394618511199951,0.8481435775756836,0.1885603368282318,0.018056196585586926,2,0.01,512,0.05405632966639329,sum,128
0,0,0_0,COMPLETED,Sobol,0.3052124117763297,8.849752221871348,0.40152284502983093,0.29922574758529663,0.02194015309214592,0.4463426172733307,0.8238506317138672,0.18281841278076172,0.021851633648270544,2,0.0014528509914685322,256,0.09787123410578823,sum,128
